// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 2.12s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 4.18s and exited with 0
// ***** Done, took 00:00:06 (6.47 sec)   *****
// Found 4 benchmarks:
//   CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: DefaultJob

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaLinq" --job "Default" --benchmarkId 0 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadWarmup   1: 64 op, 658313333.00 ns, 10.2861 ms/op
WorkloadWarmup   2: 64 op, 657523241.00 ns, 10.2738 ms/op
WorkloadWarmup   3: 64 op, 668182797.00 ns, 10.4404 ms/op
WorkloadWarmup   4: 64 op, 645279262.00 ns, 10.0825 ms/op
WorkloadWarmup   5: 64 op, 648896572.00 ns, 10.1390 ms/op
WorkloadWarmup   6: 64 op, 653458773.00 ns, 10.2103 ms/op
WorkloadWarmup   7: 64 op, 664993634.00 ns, 10.3905 ms/op
WorkloadWarmup   8: 64 op, 644440354.00 ns, 10.0694 ms/op

// BeforeActualRun
WorkloadActual   1: 64 op, 651948448.00 ns, 10.1867 ms/op
WorkloadActual   2: 64 op, 646193176.00 ns, 10.0968 ms/op
WorkloadActual   3: 64 op, 660204708.00 ns, 10.3157 ms/op
WorkloadActual   4: 64 op, 660993663.00 ns, 10.3280 ms/op
WorkloadActual   5: 64 op, 661804720.00 ns, 10.3407 ms/op
WorkloadActual   6: 64 op, 652358890.00 ns, 10.1931 ms/op
WorkloadActual   7: 64 op, 647580828.00 ns, 10.1185 ms/op
WorkloadActual   8: 64 op, 654246079.00 ns, 10.2226 ms/op
WorkloadActual   9: 64 op, 668485577.00 ns, 10.4451 ms/op
WorkloadActual  10: 64 op, 662115439.00 ns, 10.3456 ms/op
WorkloadActual  11: 64 op, 655884322.00 ns, 10.2482 ms/op
WorkloadActual  12: 64 op, 640323648.00 ns, 10.0051 ms/op
WorkloadActual  13: 64 op, 647211539.00 ns, 10.1127 ms/op
WorkloadActual  14: 64 op, 652403049.00 ns, 10.1938 ms/op
WorkloadActual  15: 64 op, 638882941.00 ns, 9.9825 ms/op

// AfterActualRun
WorkloadResult   1: 64 op, 651947930.50 ns, 10.1867 ms/op
WorkloadResult   2: 64 op, 646192658.50 ns, 10.0968 ms/op
WorkloadResult   3: 64 op, 660204190.50 ns, 10.3157 ms/op
WorkloadResult   4: 64 op, 660993145.50 ns, 10.3280 ms/op
WorkloadResult   5: 64 op, 661804202.50 ns, 10.3407 ms/op
WorkloadResult   6: 64 op, 652358372.50 ns, 10.1931 ms/op
WorkloadResult   7: 64 op, 647580310.50 ns, 10.1184 ms/op
WorkloadResult   8: 64 op, 654245561.50 ns, 10.2226 ms/op
WorkloadResult   9: 64 op, 668485059.50 ns, 10.4451 ms/op
WorkloadResult  10: 64 op, 662114921.50 ns, 10.3455 ms/op
WorkloadResult  11: 64 op, 655883804.50 ns, 10.2482 ms/op
WorkloadResult  12: 64 op, 640323130.50 ns, 10.0050 ms/op
WorkloadResult  13: 64 op, 647211021.50 ns, 10.1127 ms/op
WorkloadResult  14: 64 op, 652402531.50 ns, 10.1938 ms/op
WorkloadResult  15: 64 op, 638882423.50 ns, 9.9825 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 10.2090 ms, StdErr = 0.0340 ms (0.33%); N = 15, StdDev = 0.1317 ms
Min = 9.9825 ms, Q1 = 10.1127 ms, Median = 10.1938 ms, Q3 = 10.3280 ms, Max = 10.4451 ms
IQR = 0.2153 ms, LowerFence = 9.7897 ms, UpperFence = 10.6510 ms
ConfidenceInterval = [10.0682 ms; 10.3498 ms] (CI 99.9%), Margin = 0.1408 ms (1.38% of Mean)
Skewness = -0.06, Kurtosis = 1.94, MValue = 2

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaDic" --job "Default" --benchmarkId 1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 335248.00 ns, 335.2480 us/op
WorkloadJitting  1: 1 op, 1010293687.00 ns, 1.0103 s/op

WorkloadWarmup   1: 1 op, 1012354653.00 ns, 1.0124 s/op
WorkloadWarmup   2: 1 op, 1110631864.00 ns, 1.1106 s/op
WorkloadWarmup   3: 1 op, 1124262961.00 ns, 1.1243 s/op
WorkloadWarmup   4: 1 op, 1028035301.00 ns, 1.0280 s/op
WorkloadWarmup   5: 1 op, 1030927415.00 ns, 1.0309 s/op
WorkloadWarmup   6: 1 op, 1005119452.00 ns, 1.0051 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 990819504.00 ns, 990.8195 ms/op
WorkloadActual   2: 1 op, 1022906776.00 ns, 1.0229 s/op
WorkloadActual   3: 1 op, 1003954811.00 ns, 1.0040 s/op
WorkloadActual   4: 1 op, 1002472521.00 ns, 1.0025 s/op
WorkloadActual   5: 1 op, 1021564598.00 ns, 1.0216 s/op
WorkloadActual   6: 1 op, 1001066003.00 ns, 1.0011 s/op
WorkloadActual   7: 1 op, 1018920417.00 ns, 1.0189 s/op
WorkloadActual   8: 1 op, 1001033820.00 ns, 1.0010 s/op
WorkloadActual   9: 1 op, 1028816295.00 ns, 1.0288 s/op
WorkloadActual  10: 1 op, 1021897665.00 ns, 1.0219 s/op
WorkloadActual  11: 1 op, 995840336.00 ns, 995.8403 ms/op
WorkloadActual  12: 1 op, 988722843.00 ns, 988.7228 ms/op
WorkloadActual  13: 1 op, 986900022.00 ns, 986.9000 ms/op
WorkloadActual  14: 1 op, 1011958961.00 ns, 1.0120 s/op
WorkloadActual  15: 1 op, 1003709475.00 ns, 1.0037 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 990819504.00 ns, 990.8195 ms/op
WorkloadResult   2: 1 op, 1022906776.00 ns, 1.0229 s/op
WorkloadResult   3: 1 op, 1003954811.00 ns, 1.0040 s/op
WorkloadResult   4: 1 op, 1002472521.00 ns, 1.0025 s/op
WorkloadResult   5: 1 op, 1021564598.00 ns, 1.0216 s/op
WorkloadResult   6: 1 op, 1001066003.00 ns, 1.0011 s/op
WorkloadResult   7: 1 op, 1018920417.00 ns, 1.0189 s/op
WorkloadResult   8: 1 op, 1001033820.00 ns, 1.0010 s/op
WorkloadResult   9: 1 op, 1028816295.00 ns, 1.0288 s/op
WorkloadResult  10: 1 op, 1021897665.00 ns, 1.0219 s/op
WorkloadResult  11: 1 op, 995840336.00 ns, 995.8403 ms/op
WorkloadResult  12: 1 op, 988722843.00 ns, 988.7228 ms/op
WorkloadResult  13: 1 op, 986900022.00 ns, 986.9000 ms/op
WorkloadResult  14: 1 op, 1011958961.00 ns, 1.0120 s/op
WorkloadResult  15: 1 op, 1003709475.00 ns, 1.0037 s/op
GC:  0 0 0 0 0

// AfterAll

Mean = 1.0067 s, StdErr = 0.0035 s (0.35%); N = 15, StdDev = 0.0135 s
Min = 0.9869 s, Q1 = 0.9958 s, Median = 1.0037 s, Q3 = 1.0216 s, Max = 1.0288 s
IQR = 0.0257 s, LowerFence = 0.9573 s, UpperFence = 1.0602 s
ConfidenceInterval = [0.9922 s; 1.0212 s] (CI 99.9%), Margin = 0.0145 s (1.44% of Mean)
Skewness = 0.12, Kurtosis = 1.53, MValue = 2

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop" --job "Default" --benchmarkId 2 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1364396.00 ns, 1.3644 ms/op
WorkloadJitting  1: 1 op, 2886636730.00 ns, 2.8866 s/op

WorkloadWarmup   1: 1 op, 2882533990.00 ns, 2.8825 s/op
WorkloadWarmup   2: 1 op, 2849843756.00 ns, 2.8498 s/op
WorkloadWarmup   3: 1 op, 2874968247.00 ns, 2.8750 s/op
WorkloadWarmup   4: 1 op, 2862178157.00 ns, 2.8622 s/op
WorkloadWarmup   5: 1 op, 2884840856.00 ns, 2.8848 s/op
WorkloadWarmup   6: 1 op, 2850461214.00 ns, 2.8505 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 2946282663.00 ns, 2.9463 s/op
WorkloadActual   2: 1 op, 2899230470.00 ns, 2.8992 s/op
WorkloadActual   3: 1 op, 2861397637.00 ns, 2.8614 s/op
WorkloadActual   4: 1 op, 2826094662.00 ns, 2.8261 s/op
WorkloadActual   5: 1 op, 2846539081.00 ns, 2.8465 s/op
WorkloadActual   6: 1 op, 2871097553.00 ns, 2.8711 s/op
WorkloadActual   7: 1 op, 2879713293.00 ns, 2.8797 s/op
WorkloadActual   8: 1 op, 2883817541.00 ns, 2.8838 s/op
WorkloadActual   9: 1 op, 2874059706.00 ns, 2.8741 s/op
WorkloadActual  10: 1 op, 2868894547.00 ns, 2.8689 s/op
WorkloadActual  11: 1 op, 2852060216.00 ns, 2.8521 s/op
WorkloadActual  12: 1 op, 2887038946.00 ns, 2.8870 s/op
WorkloadActual  13: 1 op, 2880538678.00 ns, 2.8805 s/op
WorkloadActual  14: 1 op, 2968471057.00 ns, 2.9685 s/op
WorkloadActual  15: 1 op, 3086642465.00 ns, 3.0866 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 2946282663.00 ns, 2.9463 s/op
WorkloadResult   2: 1 op, 2899230470.00 ns, 2.8992 s/op
WorkloadResult   3: 1 op, 2861397637.00 ns, 2.8614 s/op
WorkloadResult   4: 1 op, 2826094662.00 ns, 2.8261 s/op
WorkloadResult   5: 1 op, 2846539081.00 ns, 2.8465 s/op
WorkloadResult   6: 1 op, 2871097553.00 ns, 2.8711 s/op
WorkloadResult   7: 1 op, 2879713293.00 ns, 2.8797 s/op
WorkloadResult   8: 1 op, 2883817541.00 ns, 2.8838 s/op
WorkloadResult   9: 1 op, 2874059706.00 ns, 2.8741 s/op
WorkloadResult  10: 1 op, 2868894547.00 ns, 2.8689 s/op
WorkloadResult  11: 1 op, 2852060216.00 ns, 2.8521 s/op
WorkloadResult  12: 1 op, 2887038946.00 ns, 2.8870 s/op
WorkloadResult  13: 1 op, 2880538678.00 ns, 2.8805 s/op
GC:  0 0 0 0 0

// AfterAll

Mean = 2.8751 s, StdErr = 0.0080 s (0.28%); N = 13, StdDev = 0.0287 s
Min = 2.8261 s, Q1 = 2.8567 s, Median = 2.8741 s, Q3 = 2.8854 s, Max = 2.9463 s
IQR = 0.0287 s, LowerFence = 2.8137 s, UpperFence = 2.9285 s
ConfidenceInterval = [2.8407 s; 2.9095 s] (CI 99.9%), Margin = 0.0344 s (1.20% of Mean)
Skewness = 0.71, Kurtosis = 3.7, MValue = 2

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic" --job "Default" --benchmarkId 3 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 354132.00 ns, 354.1320 us/op
WorkloadJitting  1: 1 op, 289448703.00 ns, 289.4487 ms/op

WorkloadPilot    1: 2 op, 592065002.00 ns, 296.0325 ms/op

WorkloadWarmup   1: 2 op, 570173103.00 ns, 285.0866 ms/op
WorkloadWarmup   2: 2 op, 575502932.00 ns, 287.7515 ms/op
WorkloadWarmup   3: 2 op, 564353566.00 ns, 282.1768 ms/op
WorkloadWarmup   4: 2 op, 575040978.00 ns, 287.5205 ms/op
WorkloadWarmup   5: 2 op, 545036243.00 ns, 272.5181 ms/op
WorkloadWarmup   6: 2 op, 553297591.00 ns, 276.6488 ms/op

// BeforeActualRun
WorkloadActual   1: 2 op, 576227608.00 ns, 288.1138 ms/op
WorkloadActual   2: 2 op, 621641941.00 ns, 310.8210 ms/op
WorkloadActual   3: 2 op, 602324438.00 ns, 301.1622 ms/op
WorkloadActual   4: 2 op, 602066940.00 ns, 301.0335 ms/op
WorkloadActual   5: 2 op, 594818778.00 ns, 297.4094 ms/op
WorkloadActual   6: 2 op, 697288170.00 ns, 348.6441 ms/op
WorkloadActual   7: 2 op, 795486759.00 ns, 397.7434 ms/op
WorkloadActual   8: 2 op, 606445837.00 ns, 303.2229 ms/op
WorkloadActual   9: 2 op, 608239702.00 ns, 304.1199 ms/op
WorkloadActual  10: 2 op, 662169218.00 ns, 331.0846 ms/op
WorkloadActual  11: 2 op, 594417923.00 ns, 297.2090 ms/op
WorkloadActual  12: 2 op, 569788177.00 ns, 284.8941 ms/op
WorkloadActual  13: 2 op, 605315463.00 ns, 302.6577 ms/op
WorkloadActual  14: 2 op, 576256752.00 ns, 288.1284 ms/op
WorkloadActual  15: 2 op, 581924341.00 ns, 290.9622 ms/op
WorkloadActual  16: 2 op, 606928780.00 ns, 303.4644 ms/op
WorkloadActual  17: 2 op, 613366274.00 ns, 306.6831 ms/op
WorkloadActual  18: 2 op, 583039288.00 ns, 291.5196 ms/op
WorkloadActual  19: 2 op, 593301941.00 ns, 296.6510 ms/op
WorkloadActual  20: 2 op, 564119351.00 ns, 282.0597 ms/op
WorkloadActual  21: 2 op, 573158628.00 ns, 286.5793 ms/op
WorkloadActual  22: 2 op, 565198386.00 ns, 282.5992 ms/op
WorkloadActual  23: 2 op, 558069995.00 ns, 279.0350 ms/op
WorkloadActual  24: 2 op, 571221929.00 ns, 285.6110 ms/op
WorkloadActual  25: 2 op, 558768681.00 ns, 279.3843 ms/op
WorkloadActual  26: 2 op, 569864741.00 ns, 284.9324 ms/op
WorkloadActual  27: 2 op, 562588087.00 ns, 281.2940 ms/op
WorkloadActual  28: 2 op, 563350492.00 ns, 281.6752 ms/op
WorkloadActual  29: 2 op, 582418972.00 ns, 291.2095 ms/op
WorkloadActual  30: 2 op, 572083307.00 ns, 286.0417 ms/op
WorkloadActual  31: 2 op, 639554031.00 ns, 319.7770 ms/op
WorkloadActual  32: 2 op, 581046954.00 ns, 290.5235 ms/op
WorkloadActual  33: 2 op, 578035990.00 ns, 289.0180 ms/op
WorkloadActual  34: 2 op, 573978208.00 ns, 286.9891 ms/op
WorkloadActual  35: 2 op, 568683706.00 ns, 284.3419 ms/op
WorkloadActual  36: 2 op, 638384515.00 ns, 319.1923 ms/op
WorkloadActual  37: 2 op, 642628384.00 ns, 321.3142 ms/op
WorkloadActual  38: 2 op, 617159727.00 ns, 308.5799 ms/op
WorkloadActual  39: 2 op, 568089625.00 ns, 284.0448 ms/op
WorkloadActual  40: 2 op, 583772075.00 ns, 291.8860 ms/op
WorkloadActual  41: 2 op, 569762249.00 ns, 284.8811 ms/op
WorkloadActual  42: 2 op, 569539017.00 ns, 284.7695 ms/op
WorkloadActual  43: 2 op, 581380484.00 ns, 290.6902 ms/op
WorkloadActual  44: 2 op, 581598267.00 ns, 290.7991 ms/op
WorkloadActual  45: 2 op, 596804043.00 ns, 298.4020 ms/op
WorkloadActual  46: 2 op, 575921022.00 ns, 287.9605 ms/op
WorkloadActual  47: 2 op, 572330429.00 ns, 286.1652 ms/op
WorkloadActual  48: 2 op, 583474843.00 ns, 291.7374 ms/op

// AfterActualRun
WorkloadResult   1: 2 op, 576227608.00 ns, 288.1138 ms/op
WorkloadResult   2: 2 op, 621641941.00 ns, 310.8210 ms/op
WorkloadResult   3: 2 op, 602324438.00 ns, 301.1622 ms/op
WorkloadResult   4: 2 op, 602066940.00 ns, 301.0335 ms/op
WorkloadResult   5: 2 op, 594818778.00 ns, 297.4094 ms/op
WorkloadResult   6: 2 op, 606445837.00 ns, 303.2229 ms/op
WorkloadResult   7: 2 op, 608239702.00 ns, 304.1199 ms/op
WorkloadResult   8: 2 op, 594417923.00 ns, 297.2090 ms/op
WorkloadResult   9: 2 op, 569788177.00 ns, 284.8941 ms/op
WorkloadResult  10: 2 op, 605315463.00 ns, 302.6577 ms/op
WorkloadResult  11: 2 op, 576256752.00 ns, 288.1284 ms/op
WorkloadResult  12: 2 op, 581924341.00 ns, 290.9622 ms/op
WorkloadResult  13: 2 op, 606928780.00 ns, 303.4644 ms/op
WorkloadResult  14: 2 op, 613366274.00 ns, 306.6831 ms/op
WorkloadResult  15: 2 op, 583039288.00 ns, 291.5196 ms/op
WorkloadResult  16: 2 op, 593301941.00 ns, 296.6510 ms/op
WorkloadResult  17: 2 op, 564119351.00 ns, 282.0597 ms/op
WorkloadResult  18: 2 op, 573158628.00 ns, 286.5793 ms/op
WorkloadResult  19: 2 op, 565198386.00 ns, 282.5992 ms/op
WorkloadResult  20: 2 op, 558069995.00 ns, 279.0350 ms/op
WorkloadResult  21: 2 op, 571221929.00 ns, 285.6110 ms/op
WorkloadResult  22: 2 op, 558768681.00 ns, 279.3843 ms/op
WorkloadResult  23: 2 op, 569864741.00 ns, 284.9324 ms/op
WorkloadResult  24: 2 op, 562588087.00 ns, 281.2940 ms/op
WorkloadResult  25: 2 op, 563350492.00 ns, 281.6752 ms/op
WorkloadResult  26: 2 op, 582418972.00 ns, 291.2095 ms/op
WorkloadResult  27: 2 op, 572083307.00 ns, 286.0417 ms/op
WorkloadResult  28: 2 op, 639554031.00 ns, 319.7770 ms/op
WorkloadResult  29: 2 op, 581046954.00 ns, 290.5235 ms/op
WorkloadResult  30: 2 op, 578035990.00 ns, 289.0180 ms/op
WorkloadResult  31: 2 op, 573978208.00 ns, 286.9891 ms/op
WorkloadResult  32: 2 op, 568683706.00 ns, 284.3419 ms/op
WorkloadResult  33: 2 op, 638384515.00 ns, 319.1923 ms/op
WorkloadResult  34: 2 op, 642628384.00 ns, 321.3142 ms/op
WorkloadResult  35: 2 op, 617159727.00 ns, 308.5799 ms/op
WorkloadResult  36: 2 op, 568089625.00 ns, 284.0448 ms/op
WorkloadResult  37: 2 op, 583772075.00 ns, 291.8860 ms/op
WorkloadResult  38: 2 op, 569762249.00 ns, 284.8811 ms/op
WorkloadResult  39: 2 op, 569539017.00 ns, 284.7695 ms/op
WorkloadResult  40: 2 op, 581380484.00 ns, 290.6902 ms/op
WorkloadResult  41: 2 op, 581598267.00 ns, 290.7991 ms/op
WorkloadResult  42: 2 op, 596804043.00 ns, 298.4020 ms/op
WorkloadResult  43: 2 op, 575921022.00 ns, 287.9605 ms/op
WorkloadResult  44: 2 op, 572330429.00 ns, 286.1652 ms/op
WorkloadResult  45: 2 op, 583474843.00 ns, 291.7374 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 293.3232 ms, StdErr = 1.6248 ms (0.55%); N = 45, StdDev = 10.8995 ms
Min = 279.0350 ms, Q1 = 284.9132 ms, Median = 290.6902 ms, Q3 = 301.0978 ms, Max = 321.3142 ms
IQR = 16.1846 ms, LowerFence = 260.6363 ms, UpperFence = 325.3748 ms
ConfidenceInterval = [287.5945 ms; 299.0519 ms] (CI 99.9%), Margin = 5.7287 ms (1.95% of Mean)
Skewness = 0.97, Kurtosis = 3.12, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report.csv
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report-github.md
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report.html

// * Detailed results *
CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 10.2090 ms, StdErr = 0.0340 ms (0.33%); N = 15, StdDev = 0.1317 ms
Min = 9.9825 ms, Q1 = 10.1127 ms, Median = 10.1938 ms, Q3 = 10.3280 ms, Max = 10.4451 ms
IQR = 0.2153 ms, LowerFence = 9.7897 ms, UpperFence = 10.6510 ms
ConfidenceInterval = [10.0682 ms; 10.3498 ms] (CI 99.9%), Margin = 0.1408 ms (1.38% of Mean)
Skewness = -0.06, Kurtosis = 1.94, MValue = 2
-------------------- Histogram --------------------
[9.936 ms ; 10.492 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 1.0067 s, StdErr = 0.0035 s (0.35%); N = 15, StdDev = 0.0135 s
Min = 0.9869 s, Q1 = 0.9958 s, Median = 1.0037 s, Q3 = 1.0216 s, Max = 1.0288 s
